id,name,authors,original_price,price,categories,all_time_quantity_sold,rating_average,review_count,pages,manuafacture
134846272,Education - Kinh Doanh Giáo Dục Tại Thị Trường Việt Nam,RIO BOOK,220000,165000,Sách khởi nghiệp,920,4.6,83,144.00,Nhà Xuất Bản Dân Trí
106770825,Bộ 10 bìa bao tập Thiên Long Điểm 10 TP-NBC01,,15000,12000,Bao nylon,2881,5,209,,
173135243,Vòng Đời (Life Cycles),Derek Harvey,350000,227000,Kiến thức - Bách khoa,489,4.7,53,143.00,Nhà Xuất Bản Dân Trí
152522279,Phúc Cho Ai Không Thấy Mà Tin - Những Câu Chuyện Nhiệm Mầu Về Hồng Ân Thiên Chúa,Gene Edwards,88000,63300,Phật giáo,817,5,122,192.00,Nhà Xuất Bản Tổng hợp TP.HCM
197353392,Holmes Ở Kyoto - Tập 6,Mai Mochizuki,85000,61000,"Truyện Tranh, Manga, Comic",88,5,14,192.00,Nhà Xuất Bản Kim Đồng
182548599,Dragon Quest - Dấu Ấn Roto (Dragon Quest Saga Emblem Of Roto) Perfect Edition Tập 6 - Tặng Kèm Bookmark PVC,Kamui Fujiwara,75000,71300,"Truyện Tranh, Manga, Comic",745,5,122,324.00,Nhà Xuất Bản Kim Đồng
160371977,Ăn Tối Cùng Chef Và Nói Chuyện Bếp,Bếp Đơn,170000,140000,Sách tiếng Việt,483,5,71,312.00,NXB Trẻ
134605012,15 Nguyên Tắc Vàng Về Phát Triển Bản Thân (Tái Bản),John C.Maxwell,179000,120000,Sách tư duy - Kỹ năng sống,527,4.8,37,444.00,Nhà Xuất Bản Thế Giới
171549996,Never Get Bored - Tí Ta Tí Toáy,Nhiều tác giả,155000,124000,Kiến thức - Bách khoa,,0,0,128.00,Nhà Xuất Bản Thế Giới
146272575,Ăn Ít Để Khỏe - 1 Bữa Là Đủ Sao Phải Cần 3 (Tái Bản 2021),Yoshinori Nagumo,119000,92900,Sách Y Học Khác,163,5,21,,Nhà Xuất Bản Lao Động
194206884,Frugal Innovation - Làm tốt hơn với nguồn lực ít hơn,Jaideep Prabhu,220000,176000,Sách doanh nhân,128,4.8,5,348.00,Nhà Xuất Bản Thế Giới
173425949,"Khung ảnh để bàn nhiều kích thước, khung ảnh trong suốt Anzzar loại 2.5cm",,55000,55000,Khung để bàn,567,4.6,22,,
73116944,Combo 20 cuốn - Bé Tô màu - Luyện chữ (Mầm non - Chuẩn bị vào lớp 1),,190907,99272,Tô màu - Luyện chữ  ,1492,4.8,348,16.00,Nhà Xuất Bản Mỹ Thuật
34750340,Ngụ Ngôn Song Ngữ Anh - Việt: Đừng Tin Lời Gã Cáo (Tái Bản 2019), Cloud Pillow,28000,16800,Sách tiếng Việt,517,5,49,,Nhà Xuất Bản Phụ Nữ
35410612,"Combo Sách Tư Duy - Kỹ Năng Sống Ai Cũng Cần Phải Có : Cân Bằng Cảm Xúc, Cả Lúc Bão Giông + Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh ( Tặng Kèm Bookmark Green Life)",Richard Nicholls,194000,166840,Sách tiếng Việt,175,4.8,30,,Nhà Xuất Bản Thế Giới
195661677,"Tư Duy Sâu, Ý Tưởng Bén, Sáng Tạo Thần Sầu",Pawpaw Poroduction,139000,125100,Sách tư duy - Kỹ năng sống,,0,0,192.00,Nhà Xuất Bản Thế Giới
121236564,PHÂN TÍCH MẪU HÌNH BIỂU ĐỒ - Những Bí Quyết Giúp Nhà Giao Dịch Siêu Hạng DAN ZANGER Biến 11 Nghìn Đô Thành 42 Triệu Đô Trong 23 Tháng,,348000,348000,Đầu tư,504,5,88,290.00,nxb hong duc
72470133,"Bộ Cọ Tròn 6 Cây Chuyên Dụng Cao Cấp Để Tô Vẽ Tranh Sơn Dầu, Màu Nước, Màu Acrylic, Vẽ Nghệ Thuật",,39000,39000,Cọ vẽ cơ bản,539,4.8,115,,
181699596,Jesse Livermore - Nhà Đầu Tư Chứng Khoán Vĩ Đại,Edwin Lefevre,219000,153000,Bài học kinh doanh,319,5,33,364.00,Nhà Xuất Bản Thanh Niên
